"id","name"
"F-A0010-001","<U+4E00><U+9031><U+8FB2><U+696D><U+6C23><U+8C61><U+9810><U+5831>-<U+672A><U+4F86><U+5929><U+6C23><U+6982><U+6CC1><U+3001><U+5404><U+5730><U+5929><U+6C23><U+9810><U+5831><U+53CA><U+8FB2><U+4E8B><U+5EFA><U+8B70>"
"F-A0012-001","<U+6D77><U+9762><U+5929><U+6C23><U+9810><U+5831>-<U+6D77><U+9762><U+5929><U+6C23><U+9810><U+5831>"
"F-A0012-002","<U+6D77><U+9762><U+5929><U+6C23><U+9810><U+5831>-<U+6D77><U+9762><U+5929><U+6C23><U+9810><U+5831>(<U+82F1><U+6587><U+7248>)"
"F-A0013-001","<U+9577><U+671F><U+5929><U+6C23><U+9810><U+5831>-<U+6708><U+9577><U+671F><U+5929><U+6C23><U+5C55><U+671B>"
"F-A0013-002","<U+9577><U+671F><U+5929><U+6C23><U+9810><U+5831>-<U+5B63><U+9577><U+671F><U+5929><U+6C23><U+5C55><U+671B>"
"F-A0020-001","<U+6CE2><U+6D6A><U+9810><U+5831><U+6A21><U+5F0F><U+8CC7><U+6599>-<U+53F0><U+7063><U+6D77><U+57DF><U+9810><U+5831><U+8CC7><U+6599>"
"F-A0021-001","<U+6F6E><U+6C50><U+9810><U+5831>-<U+672A><U+4F86>1<U+500B><U+6708><U+6F6E><U+6C50><U+9810><U+5831>"
"F-A0022-001","<U+6EFF><U+6F6E><U+9810><U+5831><U+5716>-<U+4ECA><U+65E5><U+6EFF><U+6F6E><U+9810><U+5831><U+5F71><U+50CF><U+5716>"
"F-A0022-002","<U+6EFF><U+6F6E><U+9810><U+5831><U+5716>-<U+660E><U+65E5><U+6EFF><U+6F6E><U+9810><U+5831><U+5F71><U+50CF><U+5716>"
"F-A0022-003","<U+6EFF><U+6F6E><U+9810><U+5831><U+5716>-<U+5F8C><U+5929><U+6EFF><U+6F6E><U+9810><U+5831><U+5F71><U+50CF><U+5716>"
"F-A0022-004","<U+6EFF><U+6F6E><U+9810><U+5831><U+5716>-<U+7B2C>4<U+5929><U+6EFF><U+6F6E><U+9810><U+5831><U+5F71><U+50CF><U+5716>"
"F-A0022-005","<U+6EFF><U+6F6E><U+9810><U+5831><U+5716>-<U+7B2C>5<U+5929><U+6EFF><U+6F6E><U+9810><U+5831><U+5F71><U+50CF><U+5716>"
"F-A0022-006","<U+6EFF><U+6F6E><U+9810><U+5831><U+5716>-<U+7B2C>6<U+5929><U+6EFF><U+6F6E><U+9810><U+5831><U+5F71><U+50CF><U+5716>"
"F-A0022-007","<U+6EFF><U+6F6E><U+9810><U+5831><U+5716>-<U+7B2C>7<U+5929><U+6EFF><U+6F6E><U+9810><U+5831><U+5F71><U+50CF><U+5716>"
"F-A0023-001","<U+6F6E><U+6C50><U+8868>-<U+660E><U+5E74><U+9AD8><U+4F4E><U+6F6E><U+6642><U+6F6E><U+9AD8><U+9810><U+5831>"
"F-A0037-001","<U+85CD><U+8272><U+516C><U+8DEF><U+6D77><U+6CC1><U+9810><U+5831>-<U+85CD><U+8272><U+516C><U+8DEF><U+57FA><U+9686><U+99AC><U+7956><U+822A><U+7DDA><U+89C0><U+6E2C><U+53CA><U+9810><U+5831><U+9010><U+6642><U+6D77><U+6C23><U+8C61><U+8CC7><U+8A0A>"
"F-A0037-002","<U+85CD><U+8272><U+516C><U+8DEF><U+6D77><U+6CC1><U+9810><U+5831>-<U+85CD><U+8272><U+516C><U+8DEF><U+81FA><U+4E2D><U+5E73><U+6F6D><U+822A><U+7DDA><U+89C0><U+6E2C><U+53CA><U+9810><U+5831><U+9010><U+6642><U+6D77><U+6C23><U+8C61><U+8CC7><U+8A0A>"
