SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,41,,良好,1.1,0.11,25,40,8,3,5,222,1,4.95,1.96,2016-05-28 18:00
關山,臺東縣,24,,良好,0.9,,25,35,8,3.9,2.6,70,1,5.8,1.9,2016-05-28 18:00
馬公,澎湖縣,21,,良好,8.4,0.23,14,20,8,13,2.7,172,1,22.03,9.45,2016-05-28 18:00
金門,金門縣,30,,良好,2.4,0.11,26,28,5,5,4.9,198,1,6.34,1.34,2016-05-28 18:00
馬祖,連江縣,25,,良好,1.9,0.09,28,26,9,2.5,6.7,208,1,3.69,1.23,2016-05-28 18:00
埔里,南投縣,32,,良好,0.7,0.24,39,21,7,8.1,1.5,66,1,8.78,.68,2016-05-28 18:00
復興,高雄市,25,,良好,3.9,0.2,18,24,2,8.2,1.2,255,1,11.34,3.11,2016-05-28 18:00
永和,新北市,31,,良好,5,0.92,24,26,14,27,1.4,108,2,33.36,6.06,2016-05-28 18:00
竹山,南投縣,27,,良好,2.3,0.12,31,30,6,,2.4,257,1,,,2016-05-28 18:00
中壢,桃園市,52,懸浮微粒,普通,2.4,1.59,10,56,1,23,1.6,170,1,77.25,54.02,2016-05-28 18:00
三重,新北市,52,懸浮微粒,普通,6.1,2.01,,47,18,41,,,2,99.87,58.44,2016-05-28 18:00
冬山,宜蘭縣,21,,良好,2.6,0.22,25,17,9,8.2,1.3,58,2,11.38,3.15,2016-05-28 18:00
宜蘭,宜蘭縣,21,,良好,2.9,0.21,23,25,9,6.4,1,317,1,7.71,1.31,2016-05-28 18:00
陽明,臺北市,19,,良好,1.6,0.14,23,15,6,4.8,,,1,5.74,.89,2016-05-28 18:00
花蓮,花蓮縣,24,,良好,1.5,0.24,29,24,10,4.7,2.3,81,1,5.74,1.08,2016-05-28 18:00
臺東,臺東縣,46,,良好,1.2,0.29,19,32,2,4.4,1.6,67,1,7.06,2.7,2016-05-28 18:00
恆春,屏東縣,22,,良好,1.1,0.09,26,22,2,2.5,6.4,253,1,3.7,1.25,2016-05-28 18:00
潮州,屏東縣,32,,良好,2.8,0.13,24,31,7,1.1,2.4,252,2,1.25,.14,2016-05-28 18:00
屏東,屏東縣,29,,良好,4,0.23,18,35,10,9,3.5,236,2,11.06,2.08,2016-05-28 18:00
小港,高雄市,35,,良好,8.8,0.13,17,38,0,9.1,2.2,228,1,14.65,5.51,2016-05-28 18:00
前鎮,高雄市,19,,良好,4.2,0.16,17,19,6,8.2,1.5,165,1,12.81,4.65,2016-05-28 18:00
前金,高雄市,31,,良好,2.5,0.13,21,28,10,5.1,2.6,224,1,7.66,2.56,2016-05-28 18:00
左營,高雄市,31,,良好,2.7,0.22,18,31,10,7.3,2,207,1,9.31,2.01,2016-05-28 18:00
楠梓,高雄市,39,,良好,1.4,0.17,20,43,9,2.1,2.5,252,1,4.35,2.21,2016-05-28 18:00
林園,高雄市,21,,良好,3.3,0.06,20,28,11,4.8,2.7,225,1,7.36,2.52,2016-05-28 18:00
大寮,高雄市,20,,良好,5,0.13,20,23,10,4,2.2,228,1,5.31,1.33,2016-05-28 18:00
鳳山,高雄市,40,,良好,2.1,0.4,17,46,2,12,3.2,266,1,19.11,7.18,2016-05-28 18:00
仁武,高雄市,29,,良好,1.9,0.18,21,31,2,7.3,3.4,220,1,9.22,1.92,2016-05-28 18:00
橋頭,高雄市,19,,良好,1.9,0.13,22,19,6,2.9,4.1,213,1,3.96,1.1,2016-05-28 18:00
美濃,高雄市,25,,良好,2,0.1,29,30,12,3.2,2.3,278,2,5.32,2.16,2016-05-28 18:00
臺南,臺南市,25,,良好,2,0.16,22,16,0,3.7,2.8,218,1,5.22,1.52,2016-05-28 18:00
安南,臺南市,28,,良好,1,0.17,24,26,0,-0.2,4.5,228,1,1.29,1.53,2016-05-28 18:00
善化,臺南市,28,,良好,1.7,0.19,24,29,11,11,4.7,226,1,14.07,3.32,2016-05-28 18:00
新營,臺南市,38,,良好,1.8,0.24,22,39,19,4,2,220,2,5.62,1.63,2016-05-28 18:00
嘉義,嘉義市,34,,良好,1.1,0.15,25,39,10,4,3.3,222,1,4.63,.6,2016-05-28 18:00
臺西,雲林縣,22,,良好,2,0.1,25,26,12,3.6,5.7,221,1,5.47,1.87,2016-05-28 18:00
朴子,嘉義縣,32,,良好,1.6,0.2,22,36,10,6.2,4.2,224,1,7.65,1.5,2016-05-28 18:00
新港,嘉義縣,36,,良好,1.7,0.11,24,38,11,3.1,4,228,1,4.58,1.46,2016-05-28 18:00
崙背,雲林縣,25,,良好,1.1,0.09,26,27,15,2.1,5.7,224,2,3.88,1.79,2016-05-28 18:00
斗六,雲林縣,28,,良好,2.1,0.25,24,24,12,7.1,3.4,231,2,9.31,2.17,2016-05-28 18:00
南投,南投縣,32,,良好,1.3,0.18,26,26,11,4.7,3.5,211,2,5.1,.4,2016-05-28 18:00
二林,彰化縣,28,,良好,2.5,0.09,26,30,7,1.2,5,258,1,2.51,1.27,2016-05-28 18:00
線西,彰化縣,26,,良好,3.8,0.11,25,21,6,2.3,6.1,233,1,4.35,2.03,2016-05-28 18:00
彰化,彰化縣,47,,良好,3.6,0.19,23,46,11,7.4,3.1,230,2,8.68,1.31,2016-05-28 18:00
西屯,臺中市,38,,良好,2.7,0.16,29,42,15,6.3,3.6,228,2,8.34,2.05,2016-05-28 18:00
忠明,臺中市,32,,良好,3.1,0.33,19,33,11,14,1.9,218,1,18.53,4.09,2016-05-28 18:00
大里,臺中市,41,,良好,1.2,0.3,22,53,5,7.4,2.9,235,1,9.86,2.44,2016-05-28 18:00
沙鹿,臺中市,25,,良好,2.5,0.16,24,21,10,5.2,4.3,210,1,7.44,2.29,2016-05-28 18:00
豐原,臺中市,26,,良好,3.3,0.31,24,23,26,11,4.1,215,2,13.66,2.68,2016-05-28 18:00
三義,苗栗縣,27,,良好,2.1,0.11,25,24,5,8.5,4.2,212,1,10.08,1.57,2016-05-28 18:00
苗栗,苗栗縣,33,,良好,4.9,0.23,19,36,8,7.6,3.1,209,2,9.86,2.29,2016-05-28 18:00
頭份,苗栗縣,32,,良好,1.7,0.15,22,24,7,7.3,4.9,238,1,9.71,2.39,2016-05-28 18:00
新竹,新竹市,37,,良好,0.7,0.32,24,31,5,5.7,4.5,244,1,7.75,2.03,2016-05-28 18:00
竹東,新竹縣,31,,良好,3.4,0.21,22,30,15,7.3,1.4,221,1,10.2,2.89,2016-05-28 18:00
湖口,新竹縣,28,,良好,3.3,0.09,26,20,14,1.9,6.3,241,2,3.57,1.68,2016-05-28 18:00
龍潭,桃園市,47,,良好,2.2,0.18,25,57,11,7.3,4.2,254,2,8.63,1.36,2016-05-28 18:00
平鎮,桃園市,39,,良好,1.3,0.17,19,38,12,8.5,4.1,330,1,10.34,1.82,2016-05-28 18:00
觀音,桃園市,35,,良好,1.4,0.09,26,35,8,2.2,6,238,1,3.87,1.65,2016-05-28 18:00
大園,桃園市,38,,良好,,0.09,27,32,8,1.9,6.3,218,2,2.38,.46,2016-05-28 18:00
桃園,桃園市,39,,良好,2.2,0.32,23,38,9,12,2,240,2,13.94,1.78,2016-05-28 18:00
大同,臺北市,48,,良好,5.8,2.26,,42,23,42,,,2,107.09,65.38,2016-05-28 18:00
松山,臺北市,38,,良好,3.1,0.52,13,15,,25,1.4,74,3,30.34,5.23,2016-05-28 18:00
古亭,臺北市,31,,良好,5.2,0.56,25,32,16,28,1.4,82,2,30.98,3.22,2016-05-28 18:00
萬華,臺北市,40,,良好,3.1,0.76,7.1,35,24,38,1.6,96,2,51.37,12.93,2016-05-28 18:00
中山,臺北市,43,,良好,3.7,0.76,11,36,19,35,1.5,118,2,43.55,8.34,2016-05-28 18:00
士林,臺北市,32,,良好,3.9,0.34,18,25,9,19,2.4,294,2,20.04,1.51,2016-05-28 18:00
淡水,新北市,43,,良好,1.4,0.09,21,28,7,3.9,,,2,6.07,2.19,2016-05-28 18:00
林口,新北市,36,,良好,0.1,0.1,25,31,12,5.5,4.6,254,2,6.72,1.17,2016-05-28 18:00
菜寮,新北市,34,,良好,4.2,0.72,12,28,15,31,2.4,135,2,33.98,3.05,2016-05-28 18:00
新莊,新北市,30,,良好,4.1,0.42,20,25,9,21,1.7,229,2,22.56,1.79,2016-05-28 18:00
板橋,新北市,41,,良好,7.5,0.66,23,33,8,32,1.1,155,1,33.79,1.93,2016-05-28 18:00
土城,新北市,30,,良好,6.3,0.52,35,28,11,23,1.2,144,1,24.01,1.1,2016-05-28 18:00
新店,新北市,28,,良好,2.9,0.58,33,25,21,23,3.4,127,2,24.67,2.08,2016-05-28 18:00
萬里,新北市,24,,良好,2.5,0.15,28,19,10,6.4,1.3,41,1,7.7,1.27,2016-05-28 18:00
汐止,新北市,28,,良好,6.5,0.29,14,18,11,17,1.7,52,2,19.44,2.33,2016-05-28 18:00
基隆,基隆市,16,,良好,18,0.18,6.3,22,12,22,0.8,289,1,36.23,14.48,2016-05-28 18:00
