年度,公民營電業,發電類別,電廠名稱,分廠機組別,電廠內機組數量,總裝置容量(kW)
2016,台電公司,火力,協和火力發電廠,,4,"2,000,000"
2016,台電公司,火力,大潭火力發電廠,,6,"4,384,200"
2016,台電公司,火力,通宵火力發電廠,,6,"1,857,000"
2016,台電公司,火力,台中火力發電廠,,14,"5,780,000"
2016,台電公司,火力,興達火力發電廠,,9,"4,326,000"
2016,台電公司,火力,南部火力發電廠,,4,"1,117,800"
2016,台電公司,火力,大林火力發電廠,,4,"1,800,000"
2016,台電公司,火力,尖山火力發電廠,,12,"129,800"
2016,台電公司,火力,塔山火力發電廠,,19,"90,992"
2016,台電公司,火力,珠山火力發電廠,,4,"15,400"
2016,台電公司,水力,桂山電廠,烏來,2,"22,500"
2016,台電公司,水力,桂山電廠,桂山,2,"13,000"
2016,台電公司,水力,桂山電廠,粗坑,1,"5,000"
2016,台電公司,水力,桂山電廠,軟橋,1,220
2016,台電公司,水力,翡翠電廠,翡翠,1,"70,000"
2016,台電公司,水力,石門電廠,義興,1,"40,000"
2016,台電公司,水力,石門電廠,石門,2,"90,000"
2016,台電公司,水力,卓蘭電廠,卓蘭,2,"80,000"
2016,台電公司,水力,大甲溪電廠,后里,2,950
2016,台電公司,水力,大甲溪電廠,德基,3,"234,000"
2016,台電公司,水力,大甲溪電廠,青山,4,"368,000"
2016,台電公司,水力,大甲溪電廠,谷關,4,"217,800"
2016,台電公司,水力,大甲溪電廠,天輪,5,"195,000"
2016,台電公司,水力,大甲溪電廠,馬鞍,2,"133,470"
2016,台電公司,水力,大甲溪電廠,社寮,1,945
2016,台電公司,水力,萬大電廠,萬大,4,"55,700"
2016,台電公司,水力,萬大電廠,松林,2,"20,900"
2016,台電公司,水力,大觀電廠,大觀(一),5,"110,000"
2016,台電公司,水力,大觀電廠,大觀(二),4,"1,000,000"
2016,台電公司,水力,明潭電廠,明潭,6,"1,602,000"
2016,台電公司,水力,明潭電廠,水里,1,"12,750"
2016,台電公司,水力,明潭電廠,鉅工,2,"43,500"
2016,台電公司,水力,明潭電廠,濁水,1,"3,607"
2016,台電公司,水力,明潭電廠,北山,1,"4,320"
2016,台電公司,水力,曾文電廠,曾文,1,"50,000"
2016,台電公司,水力,高屏電廠,六龜,2,"4,500"
2016,台電公司,水力,高屏電廠,竹門,1,"2,670"
2016,台電公司,水力,東部電廠,立霧,2,"32,000"
2016,台電公司,水力,東部電廠,龍溪,1,"4,700"
2016,台電公司,水力,東部電廠,龍澗,2,"97,200"
2016,台電公司,水力,東部電廠,水簾,1,"9,500"
2016,台電公司,水力,東部電廠,清水,3,"7,000"
2016,台電公司,水力,東部電廠,清流,1,"4,200"
2016,台電公司,水力,東部電廠,銅門,3,"21,000"
2016,台電公司,水力,東部電廠,榕樹,1,"2,700"
2016,台電公司,水力,東部電廠,初英,1,"2,000"
2016,台電公司,水力,東部電廠,溪口,1,"2,700"
2016,台電公司,水力,東部電廠,碧海,1,"61,200"
2016,台電公司,水力,蘭陽電廠,圓山,2,"18,000"
2016,台電公司,水力,蘭陽電廠,天埤,4,"8,375"
2016,台電公司,水力,東興電廠,東興,2,800
2016,台電公司,風力,石門風力發電站,,6,"3,960"
2016,台電公司,風力,林口風力發電站,,3,"6,000"
2016,台電公司,風力,大潭風力發電站,,8,"15,100"
2016,台電公司,風力,觀園風力發電站,,20,"30,000"
2016,台電公司,風力,新竹香山風力發電站,,6,"12,000"
2016,台電公司,風力,金沙風力發電站,,2,"4,000"
2016,台電公司,風力,台中港區風力發電站,,18,"36,000"
2016,台電公司,風力,台中電廠風力發電站,,3,"6,000"
2016,台電公司,風力,彰工風力發電站,,31,"62,000"
2016,台電公司,風力,彰化王功風力發電站,,10,"23,000"
2016,台電公司,風力,雲林麥寮風力發電站,,23,"46,000"
2016,台電公司,風力,雲林四湖風力發電站,,14,"28,000"
